tweet_id,tweet_date,tweet_source,tweet,tweet_urls,rating_numerator,rating_denominator,image_url,tweet_favorites,tweet_retweets,dog_class,dog_names,dog_breeds,accuracy
667509364010450944,2015-11-20 01:06:48,Twitter Web Client,This a Norwegian Pewterschmidt named Tickles. Ears for days. 12/10 I care deeply for Tickles https://t.co/0aDF62KVP7,https://twitter.com/dog_rates/status/667509364010450944/photo/1,12,10,https://pbs.twimg.com/media/CUN4Or5UAAAa5K4.jpg,6857,2167,None,Tickles,beagle,0.636169
667517642048163840,2015-11-20 01:39:42,Twitter Web Client,This is Dook &amp; Milo. Dook is struggling to find who he really is and Milo is terrified of what that might be. 8/10s https://t.co/fh5KflzBR0,https://twitter.com/dog_rates/status/667517642048163840/photo/1,8,10,https://pbs.twimg.com/media/CUN_wiBUkAAakT0.jpg,370,196,None,Dook|Milo,Italian_greyhound,0.125176
667524857454854144,2015-11-20 02:08:22,Twitter Web Client,Another topnotch dog. His name is Big Jumpy Rat. Massive ass feet. Superior tail. Jumps high af. 12/10 great pup https://t.co/seESNzgsdm,https://twitter.com/dog_rates/status/667524857454854144/photo/1,12,10,https://pbs.twimg.com/media/CUOGUfJW4AA_eni.jpg,1719,1131,None,Big,Chesapeake_Bay_retriever,0.08812239999999999
667530908589760512,2015-11-20 02:32:25,Twitter Web Client,"Meet Naphaniel. He doesn't necessarily enjoy his day job, but he's damn good at it. 10/10 https://t.co/xoRWyQTcmy",https://twitter.com/dog_rates/status/667530908589760512/photo/1,10,10,https://pbs.twimg.com/media/CUOL0uGUkAAx7yh.jpg,474,245,None,Naphaniel,golden_retriever,0.633037
667534815156183040,2015-11-20 02:47:56,Twitter Web Client,"This is Frank (pronounced ""Fronq""). Too many boxing gloves, not enough passion. Frank is a lover not a fighter. 8/10 https://t.co/CpPxD28IpV",https://twitter.com/dog_rates/status/667534815156183040/photo/1,8,10,https://pbs.twimg.com/media/CUOPYI5UcAAj_nO.jpg,829,551,None,Frank,Pembroke,0.435254
667538891197542400,2015-11-20 03:04:08,Twitter Web Client,"This is a southwest Coriander named Klint. Hat looks expensive. Still on house arrest :(
9/10 https://t.co/IQTOMqDUIe",https://twitter.com/dog_rates/status/667538891197542400/photo/1,9,10,https://pbs.twimg.com/media/CUOTFZOW4AABsfW.jpg,208,67,None,Klint,Yorkshire_terrier,0.618957
667544320556335104,2015-11-20 03:25:43,Twitter Web Client,"This is Kial. Kial is either wearing a cape, which would be rad, or flashing us, which would be rude. 10/10 or 4/10 https://t.co/8zcwIoiuqR",https://twitter.com/dog_rates/status/667544320556335104/photo/1,14,10,https://pbs.twimg.com/media/CUOYBbbWIAAXQGU.jpg,878,533,None,Kial,Pomeranian,0.412893
667546741521195010,2015-11-20 03:35:20,Twitter Web Client,Here is George. George took a selfie of his new man bun and that is downright epic. (Also looks like Rand Paul) 9/10 https://t.co/afRtVsoIIb,https://twitter.com/dog_rates/status/667546741521195010/photo/1,9,10,https://pbs.twimg.com/media/CUOaOWXWcAA0_Jy.jpg,337,127,None,George,toy_poodle,0.787424
667728196545200128,2015-11-20 15:36:22,Twitter Web Client,Meet Olive. He comes to spot by tree to reminisce of simpler times and truly admire his place in the universe. 11/10 https://t.co/LwrCwlWwPB,https://twitter.com/dog_rates/status/667728196545200128/photo/1,11,10,https://pbs.twimg.com/media/CUQ_QahUAAAVQjn.jpg,380,152,None,Olive,kuvasz,0.360159
667773195014021121,2015-11-20 18:35:10,Twitter Web Client,This is a rare Hungarian Pinot named Jessiga. She is either mid-stroke or got stuck in the washing machine. 8/10 https://t.co/ZU0i0KJyqD,https://twitter.com/dog_rates/status/667773195014021121/photo/1,8,10,https://pbs.twimg.com/media/CURoLrOVEAAaWdR.jpg,239,58,None,Jessiga,West_Highland_white_terrier,0.36046500000000004
667502640335572993,2015-11-20 00:40:05,Twitter Web Client,Say hello to Hall and Oates. Oates is winking and Hall is contemplating the artistic entropy of the universe. 11/10s https://t.co/n5Wtb5Hvsl,https://twitter.com/dog_rates/status/667502640335572993/photo/1,11,10,https://pbs.twimg.com/media/CUNyHTMUYAAQVch.jpg,538,223,None,Hall|Oates,Labrador_retriever,0.9967090000000001
667793409583771648,2015-11-20 19:55:30,Twitter for iPhone,Dogs only please. Small cows and other non canines will not be tolerated. Sick tattoos tho 8/10 https://t.co/s1z7mX4c9O,https://twitter.com/dog_rates/status/667793409583771648/photo/1,8,10,https://pbs.twimg.com/media/CUR6jqVWsAEgGot.jpg,707,336,None,None,dalmatian,0.5350729999999999
667806454573760512,2015-11-20 20:47:20,Twitter for iPhone,This is Filup. He is overcome with joy after finally meeting his father. 10/10 https://t.co/TBmDJXJB75,https://twitter.com/dog_rates/status/667806454573760512/photo/1,10,10,https://pbs.twimg.com/media/CUSGbXeVAAAgztZ.jpg,1069,509,None,Filup,Chihuahua,0.187155
